scope,name,tool,completeness_score,atrak_score,correctness_score,correctness_std,wins
project,axios,README-Gen,100.0,100.0,96.58,,README-Gen
project,axios,README-AI,85.71,100.0,63.89,,README-Gen
project,jquey,README-Gen,100.0,100.0,99.66,,README-Gen
project,jquey,README-AI,42.86,100.0,43.89,,README-Gen
project,moment,README-Gen,100.0,100.0,100.0,,README-Gen
project,moment,README-AI,71.43,100.0,48.89,,README-Gen
project,uri,README-Gen,100.0,100.0,57.22,,README-Gen
project,uri,README-AI,85.71,100.0,53.06,,README-Gen
project,numpy,README-Gen,100.0,100.0,90.18,,README-Gen
project,numpy,README-AI,71.43,33.33,38.89,,README-Gen
project,rich,README-Gen,100.0,100.0,87.94,,README-Gen
project,rich,README-AI,71.43,66.67,50.0,,README-Gen
project,scikit-learn,README-Gen,100.0,100.0,82.85,,README-Gen
project,scikit-learn,README-AI,57.14,66.67,42.22,,README-Gen
project,snakemd,README-Gen,85.71,100.0,36.66,,README-AI
project,snakemd,README-AI,71.43,66.67,66.67,,README-AI
project,git-cli,README-Gen,100.0,100.0,98.61,,README-Gen
project,git-cli,README-AI,57.14,100.0,38.89,,README-Gen
project,jq,README-Gen,100.0,100.0,91.11,,README-Gen
project,jq,README-AI,57.14,66.67,38.89,,README-Gen
project,notes-cli,README-Gen,100.0,100.0,53.49,,README-Gen
project,notes-cli,README-AI,57.14,66.67,48.89,,README-Gen
project,command-laucher,README-Gen,85.71,100.0,38.89,,README-Gen
project,command-laucher,README-AI,57.14,33.33,36.67,,README-Gen
overall,all,README-Gen,97.62,100.0,77.77,23.16,
overall,all,README-AI,65.48,75.0,47.57,9.39,
popularity,popular,README-Gen,100.0,100.0,93.37,,
popularity,popular,README-AI,64.28,79.17,45.7,,
popularity,low,README-Gen,92.85,100.0,46.56,,
popularity,low,README-AI,67.86,66.67,51.32,,
language,JavaScript,README-Gen,100.0,100.0,88.36,,
language,JavaScript,README-AI,71.43,100.0,52.43,,
language,Python,README-Gen,96.43,100.0,74.41,,
language,Python,README-AI,67.86,58.34,49.45,,
language,Shell,README-Gen,96.43,100.0,70.53,,
language,Shell,README-AI,57.14,66.67,40.84,,
win_count,vs_gen_mean,README-Gen,,,,,11
win_count,vs_gen_mean,README-AI,,,,,1
win_count,vs_gen_worst,README-Gen,,,,,9
win_count,vs_gen_worst,README-AI,,,,,2
